Customer Name,Segment,Customer ID
Alex Avila,Consumer,1
Allen Armold,Consumer,2
Andrew Allen,Consumer,3
Anna Andreadi,Consumer,4
Aaron Bergman,Consumer,5
Adrian Barton,Consumer,7
Aimee Bixby,Consumer,8
Alan Barnes,Consumer,9
Amy Cox,Consumer,13
Anna Chung,Consumer,15
Art Ferguson,Consumer,17
Art Foster,Consumer,18
Alejandro Grove,Consumer,19
Alex Grayson,Consumer,21
Allen Goldenen,Consumer,22
Anna Gayman,Consumer,25
Arthur Gainer,Consumer,27
Alan Hwang,Consumer,32
Amy Hunt,Consumer,33
Angele Hood,Consumer,34
Arianne Irving,Consumer,36
Ashley Jarboe,Consumer,39
Astrea Jones,Consumer,40
Anne McFarland,Consumer,42
Arthur Prichep,Consumer,45
Andrew Roberts,Consumer,48
Andy Reiter,Consumer,49
Anemone Ratner,Consumer,50
Adam Shillingsburg,Consumer,53
Alan Shonely,Consumer,56
Annie Thurman,Consumer,60
Anthony Witt,Consumer,61
Annie Zypern,Consumer,64
Bill Donatelli,Consumer,68
Bradley Drucker,Consumer,69
Brian Dahlen,Consumer,71
Brian DeCherney,Consumer,72
Brian Derr,Consumer,73
Bruce Degenhardt,Consumer,74
Bryan Davis,Consumer,75
Bobby Elias,Consumer,77
Bart Folk,Consumer,81
Barry Gonzalez,Consumer,86
Bruce Geld,Consumer,88
Brosina Hoffman,Consumer,89
Berenike Kampe,Consumer,90
Becky Martin,Consumer,91
Bryan Mills,Consumer,94
Bradley Nguyen,Consumer,96
Bobby Odegard,Consumer,98
Becky Pak,Consumer,101
Benjamin Patterson,Consumer,103
Beth Paige,Consumer,104
Brian Stugart,Consumer,108
Bruce Stewart,Consumer,109
Bobby Trafton,Consumer,113
Brian Thompson,Consumer,116
Barry Weirich,Consumer,118
Ben Wallace,Consumer,120
Christina Anderson,Consumer,123
Cynthia Arntzen,Consumer,125
Cassandra Brandow,Consumer,126
Christy Brittain,Consumer,127
Charles Crestani,Consumer,130
Chris Cortes,Consumer,131
Christopher Conant,Consumer,132
Cindy Chapman,Consumer,134
Clay Cheatham,Consumer,135
Craig Carreira,Consumer,137
Craig Carroll,Consumer,138
Carlos Daly,Consumer,139
Carol Darley,Consumer,140
Christina DeMoss,Consumer,141
Claire Gute,Consumer,144
Caroline Jumper,Consumer,147
Chloris Kastensmidt,Consumer,148
Clytie Kelty,Consumer,150
Carl Ludwig,Consumer,152
Clay Ludtke,Consumer,153
Carlos Meador,Consumer,157
Chad McGuire,Consumer,158
Charles McCrossin,Consumer,159
Charlotte Melton,Consumer,160
Chris McAfee,Consumer,161
Christopher Martinez,Consumer,162
Chuck Magee,Consumer,163
Corey-Lock,Consumer,166
Craig Reiter,Consumer,171
Cari Schnelling,Consumer,174
Carlos Soltero,Consumer,175
Chad Sievert,Consumer,176
Christine Sundaresam,Consumer,179
Chuck Sachs,Consumer,181
Cindy Stewart,Consumer,183
Carol Triggs,Consumer,184
Christina VanderZanden,Consumer,185
Dave Brooks,Consumer,192
Dean Braden,Consumer,194
Denny Blanton,Consumer,197
Doug Bickford,Consumer,199
Duane Benoit,Consumer,200
Dan Campbell,Consumer,201
Debra Catini,Consumer,202
Dorothy Dickinson,Consumer,203
David Flashing,Consumer,205
Doug Jacobs,Consumer,211
Dana Kaydos,Consumer,213
Darren Koutras,Consumer,214
Dave Kipp,Consumer,215
Dennis Kane,Consumer,218
Dan Lawera,Consumer,219
Daniel Lacy,Consumer,220
Delfina Latchford,Consumer,221
Denise Leinenbach,Consumer,222
Darrin Martin,Consumer,226
Duane Noonan,Consumer,229
Denny Ordway,Consumer,230
Doug O'Connell,Consumer,231
Darren Powers,Consumer,232
David Philippe,Consumer,234
Dianna Vittorini,Consumer,242
Don Weiss,Consumer,245
Emily Burns,Consumer,251
Eric Barreto,Consumer,252
Eugene Barchas,Consumer,254
Evan Bailliet,Consumer,255
Erin Creighton,Consumer,256
Emily Grady,Consumer,258
Eric Hoffmann,Consumer,260
Erica Hackney,Consumer,261
Evan Henry,Consumer,264
Ed Jacobs,Consumer,265
Eva Jacobs,Consumer,266
Eric Murdock,Consumer,271
Erin Mull,Consumer,272
Edward Nazzal,Consumer,276
Emily Phan,Consumer,277
Erica Smith,Consumer,279
Fred Harton,Consumer,286
Fred McMath,Consumer,290
Frank Olsen,Consumer,291
Frank Preis,Consumer,292
George Ashbrook,Consumer,294
Guy Armstrong,Consumer,295
Giulietta Baptist,Consumer,297
Gary Hwang,Consumer,301
Greg Hansen,Consumer,303
Gary McGarr,Consumer,305
Gene McClure,Consumer,307
Greg Matthias,Consumer,308
Greg Tran,Consumer,313
Guy Thornton,Consumer,314
Giulietta Weimer,Consumer,315
Gary Zandusky,Consumer,316
Helen Abelman,Consumer,318
Helen Andreada,Consumer,319
Herbert Flentye,Consumer,322
Harry Greene,Consumer,323
Hunter Glantz,Consumer,325
Hunter Lopez,Consumer,329
Henry MacAllister,Consumer,331
Henia Zydlo,Consumer,336
Ivan Gibson,Consumer,337
Ivan Liston,Consumer,338
Ionia McGrath,Consumer,339
Irene Maddox,Consumer,340
Joseph Airdo,Consumer,341
Joni Blumstein,Consumer,343
Joy Bell-,Consumer,344
Jasper Cacioppo,Consumer,346
Jenna Caffey,Consumer,347
John Castell,Consumer,348
John Dryer,Consumer,350
Joy Daniels,Consumer,352
Julia Dunbar,Consumer,353
Jeremy Ellison,Consumer,355
Joe Elijah,Consumer,357
Joel Eaton,Consumer,358
Jamie Frazer,Consumer,360
Jason Fortune-,Consumer,361
Jay Fein,Consumer,362
Jennifer Ferguson,Consumer,363
Jeremy Farry,Consumer,364
Jill Fjeld,Consumer,365
Jack Garza,Consumer,366
James Galang,Consumer,367
Jennifer Halladay,Consumer,370
John Huston,Consumer,371
Jonathan Howell,Consumer,372
Joseph Holt,Consumer,373
Justin Hirsh,Consumer,374
Jennifer Jackson,Consumer,375
Jamie Kunitz,Consumer,377
Jay Kimmel,Consumer,379
Jim Karlsson,Consumer,380
Joe Kamberova,Consumer,382
Juliana Krohn,Consumer,383
Jack Lebron,Consumer,385
Janet Lee,Consumer,387
Jeremy Lonsdale,Consumer,388
John Lee,Consumer,389
John Lucas,Consumer,390
Janet Martin,Consumer,391
Jessica Myrick,Consumer,393
Jill Matthias,Consumer,394
John Murray,Consumer,396
Justin MacKendrick,Consumer,397
Jas O'Carroll,Consumer,399
Jeremy Pistek,Consumer,402
Jim Radford,Consumer,404
Jocasta Rupert,Consumer,405
John Stevenson,Consumer,409
Joy Smith,Consumer,411
Joni Wasserman,Consumer,413
Julia West,Consumer,414
Kelly Andreada,Consumer,415
Karl Braun,Consumer,417
Kelly Collister,Consumer,422
Karen Daniels,Consumer,424
Katherine Ducich,Consumer,425
Katherine Hughes,Consumer,431
Keith Herrera,Consumer,432
Ken Lonsdale,Consumer,436
Khloe Miller,Consumer,439
Kunst Miller,Consumer,440
Kean Takahito,Consumer,445
Kean Thornton,Consumer,446
Katrina Willman,Consumer,447
Kelly Williams,Consumer,448
Larry Blacks,Consumer,450
Lena Cacioppo,Consumer,452
Lena Creighton,Consumer,453
Liz Carlisle,Consumer,456
Logan Currie,Consumer,457
Lisa DeCherney,Consumer,459
Laurel Elliston,Consumer,460
Luke Foster,Consumer,461
Larry Hughes,Consumer,462
Lena Hernandez,Consumer,463
Lisa Hazard,Consumer,464
Logan Haushalter,Consumer,465
Lauren Leatherbury,Consumer,466
Liz MacKendrick,Consumer,467
Liz Pelletier,Consumer,469
Liz Preis,Consumer,470
Lena Radford,Consumer,471
Lycoris Saunders,Consumer,476
Lynn Smith,Consumer,477
Larry Tron,Consumer,478
Liz Thompson,Consumer,479
Liz Willingham,Consumer,482
Luke Weiss,Consumer,483
Maria Bertelson,Consumer,486
Mick Brown,Consumer,487
Marc Crier,Consumer,488
Matt Collins,Consumer,490
Michael Chen,Consumer,494
Mick Crebagga,Consumer,495
Maribeth Dona,Consumer,497
Max Engle,Consumer,500
Maureen Gnade,Consumer,506
Mike Gockenbach,Consumer,509
Mark Hamilton,Consumer,513
Michelle Huthwaite,Consumer,516
Max Jones,Consumer,518
Mike Kennedy,Consumer,520
Maris LaWare,Consumer,522
Muhammed Lee,Consumer,525
Magdelene Morse,Consumer,526
Michael Moore,Consumer,527
Michelle Moray,Consumer,528
Michael Nguyen,Consumer,530
Mary O'Rourke,Consumer,531
Michael Oakman,Consumer,533
Maribeth Schnelling,Consumer,538
MaryBeth Skach,Consumer,539
Maurice Satty,Consumer,540
Maxwell Schwartz,Consumer,541
Melanie Seite,Consumer,542
Meg Tillman,Consumer,544
Mark Van Huff,Consumer,546
Mike Vittorini,Consumer,547
Mitch Webber,Consumer,548
Nat Carroll,Consumer,556
Nathan Cano,Consumer,557
Natalie DeCherney,Consumer,560
Natalie Fritzler,Consumer,562
Nathan Gelder,Consumer,566
Neoma Murray,Consumer,571
Naresj Patel,Consumer,572
Nora Paige,Consumer,573
Nora Preis,Consumer,575
Nick Radford,Consumer,576
Neola Schneider,Consumer,577
Natalie Webber,Consumer,579
Olvera Toch,Consumer,582
Peter Bühler,Consumer,585
Philip Brown,Consumer,586
Peter Fuller,Consumer,590
Philip Fox,Consumer,591
Phillip Flathmann,Consumer,592
Patrick Gardner,Consumer,593
Paul Gonzalez,Consumer,594
Pauline Johnson,Consumer,597
Pete Kriz,Consumer,599
Paul MacIntyre,Consumer,601
Patrick O'Brill,Consumer,604
Patrick O'Donnell,Consumer,605
Patrick Ryan,Consumer,609
Pamela Stobb,Consumer,610
Pete Takahito,Consumer,613
Pierre Wener,Consumer,616
Ralph Arnett,Consumer,618
Russell Applegate,Consumer,620
Ryan Akin,Consumer,621
Randy Bradley,Consumer,622
Raymond Buch,Consumer,623
Richard Bierner,Consumer,624
Rob Beeghly,Consumer,626
Roy Collins,Consumer,630
Ryan Crowe,Consumer,631
Rick Duston,Consumer,632
Rob Dowd,Consumer,633
Roger Demir,Consumer,635
Ruben Dartt,Consumer,637
Russell D'Ascenzo,Consumer,638
Ricardo Emerson,Consumer,639
Richard Eichhorn,Consumer,640
Roland Fjeld,Consumer,642
Roy Französisch,Consumer,643
Rick Hansen,Consumer,644
Ritsa Hightower,Consumer,646
Rob Haberlin,Consumer,647
Ralph Kennedy,Consumer,648
Rob Lucas,Consumer,649
Raymond Messe,Consumer,650
Roland Murray,Consumer,652
Rose O'Brian,Consumer,653
Resi Pölking,Consumer,655
Ralph Ritter,Consumer,657
Robert Waldorf,Consumer,664
Sue Ann Reed,Consumer,665
Sarah Bern,Consumer,666
Sarah Brown,Consumer,667
Sam Craven,Consumer,669
Sanjit Chand,Consumer,671
Sean Christensen,Consumer,674
Shahid Collister,Consumer,675
Sonia Cooley,Consumer,677
Steven Cartwright,Consumer,680
Stuart Calhoun,Consumer,682
Sung Chung,Consumer,683
Sanjit Engle,Consumer,685
Sandra Flanagan,Consumer,686
Sarah Foster,Consumer,687
Sandra Glassco,Consumer,689
Sheri Gordon,Consumer,690
Speros Goranitis,Consumer,691
Shahid Hopkins,Consumer,693
Sarah Jordon,Consumer,697
Shirley Jackson,Consumer,698
Sally Knutson,Consumer,699
Sally Matthias,Consumer,701
Susan MacKendrick,Consumer,703
Sean O'Donnell,Consumer,707
Susan Pistek,Consumer,712
Shahid Shariari,Consumer,716
Sonia Sunley,Consumer,718
Sung Shariari,Consumer,719
Shui Tom,Consumer,720
Seth Vernon,Consumer,722
Stewart Visinsky,Consumer,723
Susan Vittorini,Consumer,725
Scot Wooten,Consumer,726
Scott Williamson,Consumer,727
Shaun Weien,Consumer,729
Ted Butterfield,Consumer,733
Tim Brockman,Consumer,736
Toby Braunhardt,Consumer,737
Tom Boeckenhauer,Consumer,739
Tracy Blumstein,Consumer,740
Troy Blackwell,Consumer,741
Trudy Brown,Consumer,742
Toby Carlisle,Consumer,745
Tamara Dahlen,Consumer,748
Toby Gnade,Consumer,749
Trudy Glocke,Consumer,750
Thea Hendricks,Consumer,751
Tamara Manning,Consumer,755
Tony Molinari,Consumer,756
Theone Pippenger,Consumer,758
Tom Prescott,Consumer,759
Toby Ritter,Consumer,761
Thais Sissman,Consumer,762
Toby Swindell,Consumer,765
Tony Sayre,Consumer,768
